City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Sidi Ali,DZ,36.0998,0.4206,67.6,57,0,10.04,clear sky
304,Perene,PE,-10.9492,-75.2261,81.41,69,50,3.96,scattered clouds
305,Grand Gaube,MU,-20.0064,57.6608,75.6,86,12,8.9,few clouds
306,Praya,CV,14.9215,-23.5087,75.74,69,0,16.11,clear sky
307,Anadyr,RU,64.75,177.4833,37.9,80,75,11.18,broken clouds
308,Bolnisi,GE,41.4479,44.5384,56.79,85,36,4.56,scattered clouds
309,Acapulco,MX,16.8634,-99.8901,87.62,66,100,6.91,overcast clouds
310,Portales,US,34.1862,-103.3344,98.33,13,2,21.21,clear sky
311,Puerto Quijarro,BO,-17.7833,-57.7667,81.99,56,99,4.43,overcast clouds
312,Magadan,RU,59.5667,150.8,31.53,92,96,3.24,overcast clouds
313,Emba,KZ,48.8264,58.1442,50.41,49,29,8.25,scattered clouds
314,Neuquen,AR,-38.9516,-68.0591,53.49,71,0,9.22,light rain
315,Berdigestyakh,RU,62.0989,126.6992,33.49,94,100,3.51,overcast clouds
316,Hamilton,US,39.1834,-84.5333,88.21,48,20,10.36,few clouds
317,Yerbogachen,RU,61.2767,108.0108,37.06,96,78,3.94,broken clouds
318,Jardim,BR,-21.4803,-56.1381,78.39,49,10,6.71,clear sky
319,Clovis,US,36.8252,-119.7029,68.04,31,20,12.66,few clouds
320,Steinbach,DE,50.1667,8.5667,73.38,65,67,9.8,broken clouds
321,Avera,US,33.194,-82.5271,82.54,28,0,11.45,clear sky
322,Samarai,PG,-10.6167,150.6667,82.38,81,100,8.81,overcast clouds
323,Ampanihy,MG,-24.7,44.75,63.97,82,0,5.59,clear sky
324,Sisophon,KH,13.5859,102.9737,78.31,88,49,4.79,light rain
325,North Bend,US,43.4065,-124.2243,58.91,79,0,10.36,clear sky
326,Shakiso,ET,5.75,38.9167,58.21,96,62,1.05,light rain
327,Banda Aceh,ID,5.5577,95.3222,80.67,76,100,13.53,overcast clouds
328,Mayang Imphal,IN,24.6167,93.8833,69.89,98,100,1.95,overcast clouds
329,Fairbanks,US,64.8378,-147.7164,46.09,48,75,4.61,broken clouds
330,Vardo,NO,70.3705,31.1107,39.18,93,100,11.5,light rain
331,Sokoni,TZ,-6.4333,39.55,80.92,74,4,16.02,clear sky
332,Chihuahua,MX,28.5,-106.0,90.43,12,0,15.23,clear sky
333,Rio Gallegos,AR,-51.6226,-69.2181,50.05,62,0,9.22,clear sky
334,Port Augusta,AU,-32.5,137.7667,54.66,87,4,2.82,clear sky
335,Canutama,BR,-6.5339,-64.3831,83.84,73,97,3.09,overcast clouds
336,Barra Do Garcas,BR,-15.89,-52.2567,87.46,42,74,5.14,broken clouds
337,Birjand,IR,32.8663,59.2211,69.46,20,0,5.14,clear sky
338,Ancud,CL,-41.8697,-73.8203,48.07,92,100,12.41,light rain
339,Wajir,KE,1.7471,40.0573,83.14,61,99,12.41,overcast clouds
340,Sola,VU,-13.8833,167.55,80.74,79,100,26.57,light rain
341,Rawlins,US,41.7911,-107.2387,71.49,17,0,20.71,clear sky
342,Port Hardy,CA,50.6996,-127.4199,43.9,90,100,11.77,light rain
343,Chulman,RU,56.8479,124.9104,24.21,94,100,9.22,light snow
344,Liancheng,CN,24.0519,105.075,61.92,96,100,2.95,overcast clouds
345,Tongren,CN,27.7172,109.1853,62.38,96,100,3.58,overcast clouds
