City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Helmsdale,GB,58.1168,-3.6517,53.55,81,84,14.34,broken clouds
137,East London,ZA,-33.0153,27.9116,62.67,76,52,8.16,broken clouds
138,Vao,NC,-22.6667,167.4833,72.73,67,100,20.31,overcast clouds
139,Farafangana,MG,-22.8167,47.8333,71.51,74,89,2.37,overcast clouds
140,Carnarvon,AU,-24.8667,113.6333,65.32,61,0,20.38,clear sky
141,Yanam,IN,16.7333,82.2167,81.1,89,17,3.38,few clouds
142,Kolda,SN,12.8833,-14.95,94.32,22,2,1.79,clear sky
143,Ust-Omchug,RU,61.15,149.6333,32.99,98,100,3.71,snow
144,Hostotipaquillo,MX,21.0667,-104.0667,95.99,16,86,5.44,overcast clouds
145,Abu Kamal,SY,34.4506,40.9171,74.66,17,0,7.05,clear sky
146,Ginda,IN,30.6945,78.4932,63.77,45,0,6.85,clear sky
147,Cotacachi,EC,0.3,-78.2667,69.35,73,73,4.18,light rain
148,Mumbwa,ZM,-14.9783,27.0619,64.0,57,30,4.97,scattered clouds
149,Vanimo,PG,-2.6741,141.3028,77.27,89,54,4.25,broken clouds
150,Krasnoselkup,RU,65.7,82.4667,41.02,87,8,6.22,clear sky
151,Kayes,ML,14.0,-11.0,98.62,16,100,5.61,overcast clouds
152,Port Alfred,ZA,-33.5906,26.891,62.11,80,49,11.74,scattered clouds
153,Broken Hill,AU,-31.95,141.4333,58.95,71,100,10.16,overcast clouds
154,Lavrentiya,RU,65.5833,-171.0,27.43,77,5,3.65,clear sky
155,Suleja,NG,9.1758,7.1808,84.27,58,17,1.48,few clouds
156,Keti Bandar,PK,24.1447,67.4497,83.19,81,8,18.77,clear sky
157,Te Anau,NZ,-45.4167,167.7167,52.03,96,100,3.83,light rain
158,Port Elizabeth,ZA,-33.918,25.5701,64.09,79,88,7.0,overcast clouds
159,Pucara,PE,-15.9803,-71.4606,47.75,31,10,12.66,clear sky
160,Rocha,UY,-34.4833,-54.3333,59.79,66,100,4.38,overcast clouds
161,Flin Flon,CA,54.7682,-101.865,43.52,85,100,19.33,overcast clouds
162,Dunedin,NZ,-45.8742,170.5036,51.8,82,100,1.01,light rain
163,Luwingu,ZM,-10.2621,29.9271,58.71,68,6,2.86,clear sky
164,Guadalupe Victoria,MX,32.2869,-115.105,89.67,6,26,9.66,scattered clouds
165,Hasaki,JP,35.7333,140.8333,70.29,92,100,28.16,light rain
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,100,6.71,light intensity shower rain
167,Clovis,US,36.8252,-119.7029,78.4,31,0,3.44,clear sky
168,San Quintin,MX,30.4833,-115.95,71.01,53,14,13.71,few clouds
169,Kano,NG,12.0001,8.5167,93.27,11,5,6.49,clear sky
170,Port Hedland,AU,-20.3167,118.5667,73.45,100,100,8.05,overcast clouds
171,Potsdam,DE,52.3989,13.0657,61.02,69,95,6.31,overcast clouds
172,Foumban,CM,5.7291,10.9001,65.43,93,100,2.98,light rain
173,Ahipara,NZ,-35.1667,173.1667,54.3,80,52,1.1,broken clouds
174,Ravar,IR,31.2656,56.8055,69.35,28,0,12.46,clear sky
175,Upernavik,GL,72.7868,-56.1549,20.43,77,22,0.45,few clouds
176,Margate,GB,51.3813,1.3862,56.7,74,100,5.01,overcast clouds
177,Fairbanks,US,64.8378,-147.7164,44.49,78,75,9.22,broken clouds
178,Padang,ID,-0.9492,100.3543,76.78,82,85,3.89,overcast clouds
179,Sherlovaya Gora,RU,50.5667,116.25,32.81,91,27,6.24,scattered clouds
180,Baie-Comeau,CA,49.2168,-68.1489,48.99,99,100,3.44,overcast clouds
181,Kwinana,AU,-32.25,115.7667,61.93,65,100,5.99,overcast clouds
182,Igarka,RU,67.4667,86.5833,34.36,100,100,5.14,overcast clouds
183,Fomboni,KM,-12.28,43.7425,80.19,67,2,6.17,clear sky
184,Arlit,NE,18.7369,7.3853,90.55,10,1,14.0,clear sky
185,Les Cayes,HT,18.2,-73.75,81.39,74,100,12.46,overcast clouds
186,Ayagoz,KZ,47.9714,80.4392,55.8,67,62,7.78,broken clouds
187,Shimoda,JP,34.6667,138.95,68.11,97,100,20.45,light rain
188,Champerico,GT,14.3,-91.9167,91.94,60,6,9.17,clear sky
189,Bandarbeyla,SO,9.4942,50.8122,82.44,86,98,19.69,overcast clouds
190,Phan Thiet,VN,10.9333,108.1,79.18,88,79,3.47,broken clouds
191,Pyapon,MM,16.2833,95.6833,80.65,89,95,4.88,overcast clouds
192,Pingliang,CN,35.5392,106.6861,45.64,71,100,2.1,overcast clouds
193,Taksimo,RU,56.3444,114.8794,38.97,82,100,5.23,overcast clouds
194,Karakulino,RU,56.012,53.7067,44.69,82,97,4.27,overcast clouds
195,Ewa Beach,US,21.3156,-158.0072,84.15,53,0,14.97,clear sky
196,Camacha,PT,33.0833,-16.3333,63.82,77,40,3.44,scattered clouds
197,Hesperia,US,34.4264,-117.3009,84.45,16,0,4.0,clear sky
198,San Vicente,AR,-26.6167,-54.1333,69.1,62,11,2.24,few clouds
199,Tselinnoye,RU,53.0833,85.6667,59.0,42,5,3.09,clear sky
200,Gat,IL,31.61,34.7642,78.4,41,1,7.61,clear sky
201,Lebu,CL,-37.6167,-73.65,53.06,68,47,19.19,scattered clouds
202,Saint George,US,37.1041,-113.5841,84.25,12,0,4.61,clear sky
203,Deputatskiy,RU,69.3,139.9,13.69,83,100,2.1,overcast clouds
204,Cherskiy,RU,68.75,161.3,37.0,73,40,13.89,scattered clouds
205,Livramento,BR,-3.0254,-60.1803,83.07,89,75,2.3,heavy intensity rain
206,Mahebourg,MU,-20.4081,57.7,70.25,73,22,11.34,few clouds
207,Touba,CI,8.2833,-7.6833,80.55,64,93,3.02,light rain
208,Vila,PT,42.0304,-8.1588,59.88,62,98,1.23,overcast clouds
209,Meadow Lake,US,34.8014,-106.5436,82.22,6,0,8.93,clear sky
210,Sorong,ID,-0.8833,131.25,78.93,86,100,0.49,light rain
211,Olinda,BR,-8.0089,-34.8553,82.13,78,20,6.91,few clouds
212,Victoria,HK,22.2855,114.1577,77.95,96,98,6.73,light rain
213,Geraldton,AU,-28.7667,114.6,61.21,77,100,8.05,overcast clouds
214,Parabel,RU,58.6978,81.4825,54.54,44,66,5.79,broken clouds
215,Vyartsilya,RU,62.1764,30.693,45.75,86,94,6.2,overcast clouds
216,Atar,MR,20.5169,-13.0499,98.15,10,24,9.08,few clouds
217,Salalah,OM,17.0151,54.0924,84.29,70,0,3.44,clear sky
218,Edson,CA,53.5835,-116.4356,62.1,28,95,1.01,overcast clouds
219,Belmonte,BR,-15.8631,-38.8828,77.86,77,11,7.09,few clouds
220,Grand Gaube,MU,-20.0064,57.6608,73.8,77,38,3.0,scattered clouds
221,Korostyshiv,UA,50.3172,29.0563,56.82,72,100,5.12,overcast clouds
222,Sabha,LY,27.0377,14.4283,71.78,27,0,9.15,clear sky
223,Sungaipenuh,ID,-2.0833,101.3833,64.63,95,23,2.06,few clouds
224,Tricase,IT,39.9304,18.3553,65.14,65,6,2.42,clear sky
225,Kalmunai,LK,7.4167,81.8167,80.67,77,100,8.01,overcast clouds
226,Mozarlandia,BR,-14.7447,-50.5706,89.76,36,100,5.66,overcast clouds
227,Scarborough,GB,54.2797,-0.4044,56.79,73,78,3.0,broken clouds
228,Rawah,IQ,34.4816,41.9093,74.53,16,0,9.66,clear sky
229,Klaksvik,FO,62.2266,-6.589,41.92,67,100,18.45,overcast clouds
230,Mecca,SA,21.4267,39.8261,90.68,35,0,2.17,clear sky
231,Taywarah,AF,33.35,64.4167,55.13,21,0,1.72,clear sky
232,Rawson,AR,-43.3002,-65.1023,56.16,44,25,22.64,scattered clouds
233,Sitka,US,57.0531,-135.33,48.09,71,20,8.05,few clouds
234,Briceni,MD,48.3572,27.7036,58.71,93,100,4.65,overcast clouds
235,Hervey Bay,AU,-25.2986,152.8535,70.02,96,88,18.01,overcast clouds
236,Clinton,US,42.587,-82.9199,86.85,53,6,1.01,clear sky
237,Cradock,ZA,-32.1642,25.6192,53.78,55,0,4.61,clear sky
238,Niceville,US,30.5169,-86.4822,87.39,63,40,11.5,scattered clouds
239,Mangan,IN,27.5167,88.5333,71.89,90,95,0.67,overcast clouds
240,Marsa Matruh,EG,31.3525,27.2453,67.66,65,100,8.23,overcast clouds
241,Senneterre,CA,48.3835,-77.2328,84.51,34,28,10.65,scattered clouds
242,Westport,US,41.1415,-73.3579,79.45,84,75,10.36,broken clouds
243,Peru,US,40.7537,-86.0689,88.59,41,20,8.05,few clouds
244,Vila Velha,BR,-20.3297,-40.2925,76.95,78,40,11.5,scattered clouds
245,Gongzhuling,CN,43.5008,124.8198,40.68,80,27,11.18,scattered clouds
246,Sohag,EG,26.557,31.6948,93.52,13,0,2.44,clear sky
247,Pedernales,DO,18.0384,-71.744,86.41,58,96,21.23,overcast clouds
248,Belaya Gora,RU,68.5333,146.4167,20.5,78,100,14.99,overcast clouds
249,Strelka,RU,58.0728,93.0344,48.85,68,27,4.07,scattered clouds
250,Gibsons,CA,49.3997,-123.5027,55.99,64,86,9.46,overcast clouds
251,Nanortalik,GL,60.1432,-45.2371,31.55,84,100,6.6,overcast clouds
252,Iracoubo,GF,5.4802,-53.2011,80.94,79,14,10.67,few clouds
253,Pacific Grove,US,36.6177,-121.9166,75.34,67,0,13.8,clear sky
254,Rovinj,HR,45.08,13.64,66.02,72,88,2.08,overcast clouds
255,Samarai,PG,-10.6167,150.6667,81.55,80,79,5.23,broken clouds
256,Kaeo,NZ,-35.1,173.7833,47.32,96,31,3.78,scattered clouds
257,Larsnes,NO,62.2028,5.5773,43.39,90,100,8.1,overcast clouds
